event_date,state,district,location,latitude,longitude,location_precision,deaths,rainfall_mm,rainfall_period,trigger,is_landslide,data_source,source,source_url
2022-05-14,Assam,Dima Hasao,Haflong town and New Haflong Railway Station,25.1742,93.0232,town-level,4.0,156.0,"24hr (May 11 peak 156mm; 5-day continuous spell, May total 540mm)",Pre-monsoon extreme rainfall / slope cutting,1,real_documented_event,"AGU Landslide Blog / DownToEarth / ASDMA, May 2022",https://www.downtoearth.org.in/news/natural-disasters/dima-hasao-disaster-how-unplanned-construction-aggravated-landslides-in-assam-82928
2020-06-02,Assam,Cachar,Joypur/Lakhipur (Cachar) and Hailakandi & Karimganj,24.7431,93.0131,district-level approx,21.0,151.6,5-day cumulative antecedent rainfall (121mm threshold exceeded),Heavy pre-monsoon incessant rainfall,1,real_documented_event,"Indian Express / ResearchGate (Sultana et al.), Jun 2020",https://indianexpress.com/article/north-east-india/assam/assam-landslides-barak-valley-cachar-hailakandi-karimganj-6438902/
2015-08-01,Manipur,Chandel,Joumol village (Khengjoi block),24.15,94.05,village-level approx,20.0,287.6,48hr cumulative (Cyclone Komen remnants),Cyclone Komen / incessant torrential monsoon rainfall,1,real_documented_event,"NDTV / ReliefWeb / E-Pao, Aug 2015",https://www.ndtv.com/india-news/landslide-wipes-out-manipur-village-20-feared-dead-1202877
2024-09-03,Nagaland,Chumoukedima,"Pherima and Pagla Pahar, NH-29",25.7592,93.854,town-level,6.0,46.1,3-day continuous spell (IMD heavy rainfall alert),Incessant monsoon rain / stream debris flow,1,real_documented_event,"The Hindu / Nagaland State Disaster Management Authority, Sep 2024",https://www.thehindu.com/news/national/nagaland/six-killed-in-landslides-on-national-highway-29-in-nagaland/article68603612.ece
2017-07-11,Arunachal Pradesh,Papum Pare,Laptap village (Sagalee sub-division),27.24,93.41,village-level approx,14.0,194.9,3-day continuous monsoon spell (80.9mm single-day peak),Incessant monsoon rainfall,1,real_documented_event,"India Today / Indian Express / NDRF, Jul 2017",https://www.indiatoday.in/india/story/arunachal-pradesh-landslide-papum-pare-district-1023733-2017-07-11
2016-04-22,Arunachal Pradesh,Tawang,Phamla village (near Tawang town),27.5861,91.8687,village-level,16.0,80.0,3-day pre-monsoon spell (29.8mm single-day peak),Incessant pre-monsoon rainfall / construction camp on slope,1,real_documented_event,"The Wire / NDTV / NDRF, Apr 2016",https://thewire.in/environment/16-killed-in-arunachal-pradesh-landslide
2020-07-10,Arunachal Pradesh,Papum Pare,Tigdo village & Modirijo (NH-415 Itanagar),27.0844,93.6053,town-level,8.0,69.4,48hr spell (5-day incessant rainfall in capital complex),Incessant heavy monsoon rainfall,1,real_documented_event,"Hindustan Times / Indian Express, Jul 2020",https://www.hindustantimes.com/india-news/8-killed-in-landslides-in-arunachal-pradesh-after-incessant-rain/story-zR21XgY30xJ95LgBw3uG3N.html
2017-06-12,Mizoram,Lunglei,Lunglei town & Tlabung sub-division,22.8879,92.732,town-level,12.0,360.3,"48hr cumulative (252.0mm on Jun 12, 108.3mm on Jun 13)",Incessant monsoon rainfall / post-Cyclone Mora deluge,1,real_documented_event,"Kangla Online / Hindustan Times / Disaster Management Mizoram, Jun 2017",https://www.hindustantimes.com/india-news/cyclone-mora-in-mizoram-1-dead-hundreds-of-houses-damaged/story-ZzQc3mGvR8tIbg1RZZkGHL.html
2012-09-21,Sikkim,Mangan,Mangan-Chungthang highway stretch,27.562,88.587,district-level approx,27.0,151.0,72hr cumulative (late-monsoon deluge on post-earthquake terrain),Torrential late monsoon rainfall,1,real_documented_event,"NDTV / New Indian Express / BRO, Sep 2012",https://www.ndtv.com/india-news/sikkim-landslides-27-killed-many-missing-500277
2015-07-01,West Bengal,Darjeeling,"Tingling tea estate, Mirik and Kalimpong",26.8917,88.1783,village-level,38.0,185.3,24hr (Kurseong gauge; 3-day continuous spell over 330mm),Torrential monsoon rainfall,1,real_documented_event,"Times of India / AGU Landslide Blog / GSI, Jul 2015",https://timesofindia.indiatimes.com/city/kolkata/38-dead-in-darjeeling-landslides/articleshow/47910129.cms
2024-07-30,Kerala,Wayanad,"Chooralmala, Mundakkai, Punjirimattom (Meppadi)",11.5273,76.1368,village-level,350.0,578.0,48hr cumulative (372.0mm 24hr peak ending July 30),Incessant extremely heavy monsoon downpour (deep convective cloud system),1,real_documented_event,"IMD / DownToEarth / KSDMA / ReliefWeb, Jul 2024",https://www.downtoearth.org.in/natural-disasters/wayanad-landslides-extremely-heavy-rainfall-deep-cloud-system-triggered-disaster-shows-imd-data
2020-08-06,Kerala,Idukki,"Pettimudi, Rajamala near Munnar",10.1658,77.0163,village-level,66.0,616.4,24hr (recorded at Kannan Devan Hills Tea Estate gauge),Concentrated monsoon cloudburst-intensity downpour,1,real_documented_event,"New Indian Express / ResearchGate (Sajinkumar et al.), Aug 2020",https://www.newindianexpress.com/states/kerala/2020/aug/10/pettimudi-tragedy-rain-measured-at-tea-estate-was-616-mm-on-august-6-2181467.html
2019-08-08,Kerala,Malappuram,"Kavalappara (Bhoothanam, Nilambur)",11.3783,76.2417,village-level,59.0,398.0,24hr (recorded at Nilambur station; 7-day total 189.4mm prior),Incessant heavy monsoon rainfall,1,real_documented_event,"New Indian Express / AGU Landslide Blog / KSDMA, Aug 2019",https://www.newindianexpress.com/states/kerala/2019/aug/19/kavalappara-landslide-death-toll-rises-to-59-2021021.html
2019-08-08,Kerala,Wayanad,"Puthumala, Meppadi",11.5167,76.15,village-level,17.0,256.0,24hr (Vythiri AWS; 48hr spell ~500mm),Incessant extreme monsoon rainfall,1,real_documented_event,"The Hindu / ResearchGate / KSDMA, Aug 2019",https://www.thehindu.com/news/national/kerala/puthumala-landslide-ground-penetrating-radar-search-yields-no-results/article29166645.ece
2023-07-19,Maharashtra,Raigad,"Irshalwadi tribal hamlet, Khalapur taluka",18.9328,73.2325,village-level,84.0,499.0,3-day cumulative (July 16-19; 234.4mm in 24hr),Incessant torrential monsoon downpour,1,real_documented_event,"Hindustan Times / NDRF / AGU Landslide Blog, Jul 2023",https://www.hindustantimes.com/cities/mumbai-news/irshalwadi-landslide-death-toll-rises-to-27-search-operation-called-off-101690119859547.html
2021-07-22,Maharashtra,Raigad,"Taliye village, Mahad taluka",18.0645,73.4912,village-level,89.0,413.0,24hr (Mahad IMD gauge; 48hr cumulative 572mm),Extreme monsoon deluge,1,real_documented_event,"Hindustan Times / ResearchGate (Prakash et al.), Jul 2021",https://www.hindustantimes.com/cities/mumbai-news/taliye-landslide-death-toll-rises-to-89-search-operation-called-off-101627299119615.html
2014-07-30,Maharashtra,Pune,"Malin village, Ambegaon taluka",19.1603,73.6886,village-level,151.0,108.0,24hr (Dimbhe gauge; ~600mm 7-day cumulative spell),Continuous monsoon downpour / heavy soil saturation,1,real_documented_event,"GSI / AGU Landslide Blog / Wikipedia, Jul 2014",https://en.wikipedia.org/wiki/2014_Malin_landslide
2024-07-16,Karnataka,Uttara Kannada,"Shirur, Ankola on NH-66",14.6186,74.3875,village-level,11.0,198.0,24hr (Ankola IMD gauge; 48hr continuous spell),Incessant monsoon rainfall / unscientific NH-66 slope excavation,1,real_documented_event,"EOS / Natural Hazards Research / Indian Express, Jul 2024",https://indianexpress.com/article/cities/bangalore/karnataka-ankola-landslide-arjun-lorry-found-gangavali-river-9588075/
2017-08-13,Himachal Pradesh,Mandi,"Kotropi village, NH-154 (Mandi-Pathankot highway)",31.8988,76.8833,village-level,48.0,194.8,8-day cumulative antecedent rainfall (Aug 5-13; cloudburst trigger),Cloudburst / incessant monsoon downpour,1,real_documented_event,"USGS / GSI / AGU Landslide Blog, Aug 2017",https://www.usgs.gov/media/images/2017-kotropi-landslide-himachal-pradesh-india
2023-08-14,Himachal Pradesh,Shimla,"Shiv Bawdi temple, Summer Hill",31.1128,77.1394,town-level,20.0,134.0,24hr (Shimla AWS; 48hr extreme monsoon spell),Extreme orographic monsoon rainfall / saturated overburden,1,real_documented_event,"Indian Express / EOS / ResearchGate, Aug 2023",https://indianexpress.com/article/cities/chandigarh/shimla-temple-collapse-summer-hill-rescue-operation-8891515/
,Sikkim,Mangan,Mangan (synthetic),27.5167,88.5333,town-level (real coords),,231.5,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Arunachal Pradesh,Itanagar,Itanagar (synthetic),27.0844,93.6053,town-level (real coords),,222.5,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Nagaland,Dimapur,Dimapur (synthetic),25.9091,93.7267,town-level (real coords),,203.6,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Manipur,Imphal,Imphal (synthetic),24.817,93.9368,town-level (real coords),,141.8,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Manipur,Noney,Noney (synthetic),24.7842,93.6035,town-level (real coords),,184.3,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Meghalaya,Tura,Tura (synthetic),25.514,90.2027,town-level (real coords),,204.2,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Mizoram,Aizawl,Aizawl (synthetic),23.7271,92.7176,town-level (real coords),,211.1,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Meghalaya,Tura,Tura (synthetic),25.514,90.2027,town-level (real coords),,255.8,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Nagaland,Kohima,Kohima (synthetic),25.6751,94.1086,town-level (real coords),,251.4,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Assam,Dibrugarh,Dibrugarh (synthetic),27.4728,94.912,town-level (real coords),,145.5,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Meghalaya,Tura,Tura (synthetic),25.514,90.2027,town-level (real coords),,206.4,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Manipur,Imphal,Imphal (synthetic),24.817,93.9368,town-level (real coords),,193.5,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Nagaland,Kohima,Kohima (synthetic),25.6751,94.1086,town-level (real coords),,123.2,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Manipur,Noney,Noney (synthetic),24.7842,93.6035,town-level (real coords),,205.7,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Manipur,Imphal,Imphal (synthetic),24.817,93.9368,town-level (real coords),,126.5,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Nagaland,Kohima,Kohima (synthetic),25.6751,94.1086,town-level (real coords),,171.3,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Tripura,Agartala,Agartala (synthetic),23.8315,91.2868,town-level (real coords),,132.7,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Tripura,Agartala,Agartala (synthetic),23.8315,91.2868,town-level (real coords),,148.0,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Sikkim,Mangan,Mangan (synthetic),27.5167,88.5333,town-level (real coords),,257.7,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Mizoram,Lunglei,Lunglei (synthetic),22.8879,92.732,town-level (real coords),,126.5,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Assam,Silchar,Silchar (synthetic),24.8333,92.7789,town-level (real coords),,215.2,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Mizoram,Lunglei,Lunglei (synthetic),22.8879,92.732,town-level (real coords),,129.1,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Meghalaya,Shillong,Shillong (synthetic),25.5788,91.8933,town-level (real coords),,251.9,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Tripura,Agartala,Agartala (synthetic),23.8315,91.2868,town-level (real coords),,233.2,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Mizoram,Lunglei,Lunglei (synthetic),22.8879,92.732,town-level (real coords),,122.2,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Assam,Dibrugarh,Dibrugarh (synthetic),27.4728,94.912,town-level (real coords),,215.8,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Arunachal Pradesh,Itanagar,Itanagar (synthetic),27.0844,93.6053,town-level (real coords),,215.7,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Nagaland,Kohima,Kohima (synthetic),25.6751,94.1086,town-level (real coords),,189.3,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Arunachal Pradesh,Itanagar,Itanagar (synthetic),27.0844,93.6053,town-level (real coords),,144.3,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Assam,Guwahati,Guwahati (synthetic),26.1445,91.7362,town-level (real coords),,156.2,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Mizoram,Aizawl,Aizawl (synthetic),23.7271,92.7176,town-level (real coords),,225.8,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Tripura,Agartala,Agartala (synthetic),23.8315,91.2868,town-level (real coords),,192.8,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Manipur,Imphal,Imphal (synthetic),24.817,93.9368,town-level (real coords),,199.5,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Nagaland,Dimapur,Dimapur (synthetic),25.9091,93.7267,town-level (real coords),,255.7,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Manipur,Imphal,Imphal (synthetic),24.817,93.9368,town-level (real coords),,183.0,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Manipur,Imphal,Imphal (synthetic),24.817,93.9368,town-level (real coords),,245.3,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Tripura,Agartala,Agartala (synthetic),23.8315,91.2868,town-level (real coords),,221.8,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Arunachal Pradesh,Itanagar,Itanagar (synthetic),27.0844,93.6053,town-level (real coords),,132.4,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Sikkim,Mangan,Mangan (synthetic),27.5167,88.5333,town-level (real coords),,192.9,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Tripura,Agartala,Agartala (synthetic),23.8315,91.2868,town-level (real coords),,165.5,"24hr (synthetic, grounded in real trigger range)",Heavy rainfall (synthetic),1,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Nagaland,Dimapur,Dimapur (synthetic),25.9091,93.7267,town-level (real coords),,28.6,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Meghalaya,Tura,Tura (synthetic),25.514,90.2027,town-level (real coords),,59.5,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Mizoram,Lunglei,Lunglei (synthetic),22.8879,92.732,town-level (real coords),,29.5,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Nagaland,Kohima,Kohima (synthetic),25.6751,94.1086,town-level (real coords),,29.0,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Nagaland,Dimapur,Dimapur (synthetic),25.9091,93.7267,town-level (real coords),,80.6,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Assam,Guwahati,Guwahati (synthetic),26.1445,91.7362,town-level (real coords),,3.5,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Mizoram,Lunglei,Lunglei (synthetic),22.8879,92.732,town-level (real coords),,77.7,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Nagaland,Kohima,Kohima (synthetic),25.6751,94.1086,town-level (real coords),,30.8,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Arunachal Pradesh,Itanagar,Itanagar (synthetic),27.0844,93.6053,town-level (real coords),,81.9,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Assam,Guwahati,Guwahati (synthetic),26.1445,91.7362,town-level (real coords),,71.7,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Assam,Silchar,Silchar (synthetic),24.8333,92.7789,town-level (real coords),,77.6,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Meghalaya,Tura,Tura (synthetic),25.514,90.2027,town-level (real coords),,92.8,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Manipur,Imphal,Imphal (synthetic),24.817,93.9368,town-level (real coords),,13.4,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Sikkim,Mangan,Mangan (synthetic),27.5167,88.5333,town-level (real coords),,85.3,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Nagaland,Kohima,Kohima (synthetic),25.6751,94.1086,town-level (real coords),,34.4,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Sikkim,Mangan,Mangan (synthetic),27.5167,88.5333,town-level (real coords),,32.5,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Mizoram,Aizawl,Aizawl (synthetic),23.7271,92.7176,town-level (real coords),,67.3,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Nagaland,Kohima,Kohima (synthetic),25.6751,94.1086,town-level (real coords),,64.5,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Manipur,Noney,Noney (synthetic),24.7842,93.6035,town-level (real coords),,57.0,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Assam,Silchar,Silchar (synthetic),24.8333,92.7789,town-level (real coords),,13.7,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Tripura,Agartala,Agartala (synthetic),23.8315,91.2868,town-level (real coords),,85.2,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Meghalaya,Tura,Tura (synthetic),25.514,90.2027,town-level (real coords),,57.0,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Arunachal Pradesh,Itanagar,Itanagar (synthetic),27.0844,93.6053,town-level (real coords),,27.1,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Manipur,Noney,Noney (synthetic),24.7842,93.6035,town-level (real coords),,53.2,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Arunachal Pradesh,Itanagar,Itanagar (synthetic),27.0844,93.6053,town-level (real coords),,12.9,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Nagaland,Kohima,Kohima (synthetic),25.6751,94.1086,town-level (real coords),,12.6,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Arunachal Pradesh,Itanagar,Itanagar (synthetic),27.0844,93.6053,town-level (real coords),,89.8,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Assam,Guwahati,Guwahati (synthetic),26.1445,91.7362,town-level (real coords),,32.8,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Meghalaya,Shillong,Shillong (synthetic),25.5788,91.8933,town-level (real coords),,90.9,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Sikkim,Mangan,Mangan (synthetic),27.5167,88.5333,town-level (real coords),,61.2,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Arunachal Pradesh,Itanagar,Itanagar (synthetic),27.0844,93.6053,town-level (real coords),,76.0,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
,Meghalaya,Shillong,Shillong (synthetic),25.5788,91.8933,town-level (real coords),,94.4,"24hr (synthetic, grounded in normal baseline)",No significant trigger (synthetic),0,synthetic_augmented,Generated for ML training volume - NOT an observed event,
